00	Null SAP
02	LLC Sublayer Management / Individual
03	LLC Sublayer Management / Group
06	IP (DoD Internet Protocol)
0e	PROWAY (IEC 955) Network Management, Maintenance and Installation
42	BPDU (Bridge PDU / 802.1 Spanning Tree)
4e	MMS (Manufacturing Message Service) EIA-RS 511
5e	ISI IP
7e	X.25 PLP (ISO 8208)
8e	PROWAY (IEC 995) Active Station List Maintenance
aa	SNAP (Sub-Netwrok Access Protocol / non-IEEE SAPs)
e0	IPX (Novell Netware)
f4	LAN Management
fe	ISO Network Layer Protocols
ff	Global DSAP
01  Xerox Experimental
80  AppleTalk
